Instance,W2SAT
unsat_5clique_65_1825_50315.cnf,
sat_php_229_953_65845.cnf,
unsat_dominating_80_1810_98166.cnf,
unsat_tiling_20_102_21063.cnf,"[6.72632e-06, 7.4652003e-06, 2.3216431e-05, 7.92866e-06]"
sat_php_225_920_5668.cnf,
unsat_dominating_80_1809_31472.cnf,"[1.1980968e-05, 2.6990081e-05, 3.078863e-05, 7.698065e-05]"
unsat_php_94_857_1462.cnf,"[9.055098e-06, 1.651883e-05, 3.0512258e-05, 4.8460548e-05]"
unsat_tseitin_40_266_90515.cnf,"[4.4394248e-05, 3.749532e-05, 0.00015130249, 3.48653e-05]"
unsat_tiling_20_782_63634.cnf,"[7.974059e-06, 1.47580895e-05, 2.6298378e-05, 2.335071e-05]"
unsat_5clique_65_1955_30435.cnf,
unsat_matching_80_356_51040.cnf,"[7.78319e-06, 1.132693e-05, 2.869299e-05, 2.290648e-05]"
unsat_cliquecoloring_27_131.cnf,"[1.023794e-05, 1.028697e-05, 3.277246e-05, 8.34749e-06]"
sat_5color_100_420_10212.cnf,"[7.76314e-06, 1.186522e-05, 3.134239e-05, 2.1619333e-05]"
unsat_matching_80_361_40622.cnf,"[7.60248e-06, 1.1643069e-05, 2.898386e-05, 2.203957e-05]"
unsat_4clique_32_452_22842.cnf,"[7.751029e-06, 1.159871e-05, 2.5418942e-05, 2.6043732e-05]"
sat_matching_160_1285_40622.cnf,"[8.85186e-06, 2.15982e-05, 3.841494e-05, 6.9408175e-05]"
unsat_cliquecoloring_30_118.cnf,"[8.3432105e-06, 8.688809e-06, 2.961909e-05, 8.2057495e-06]"
unsat_matching_40_111_28630.cnf,"[6.6600596e-06, 8.086349e-06, 2.6041791e-05, 9.3442895e-06]"
unsat_4clique_52_1174_65351.cnf,
sat_dominating_70_1295_52087.cnf,"[1.0588271e-05, 2.0932079e-05, 3.101742e-05, 5.1185558e-05]"
unsat_tiling_10_47_90497.cnf,"[5.20415e-06, 6.75743e-06, 2.1273521e-05, 5.41635e-06]"
unsat_5clique_65_1825_12867.cnf,
unsat_op_90_775_81162.cnf,"[1.6531889e-05, 1.807549e-05, 3.7488502e-05, 3.4758243e-05]"
sat_dominating_70_1295_27876.cnf,"[9.95862e-06, 2.0585281e-05, 2.926005e-05, 6.36828e-05]"
unsat_tiling_20_231_52499.cnf,"[6.75942e-06, 8.673649e-06, 2.2662582e-05, 1.199217e-05]"
unsat_cliquecoloring_62_446.cnf,"[1.08108e-05, 1.2752629e-05, 2.6976908e-05, 2.2078371e-05]"
sat_php_234_997_36616.cnf,
unsat_dominating_80_1808_68998.cnf,"[9.62058e-06, 2.654636e-05, 3.0199011e-05, 7.4296826e-05]"
unsat_matching_60_259_93884.cnf,"[7.0195797e-06, 9.92369e-06, 2.8627739e-05, 1.705057e-05]"
unsat_tseitin_20_100_94365.cnf,"[2.2130263e-05, 1.3880129e-05, 7.5151926e-05, 1.231225e-05]"
sat_4color_120_450_33000.cnf,"[8.41495e-06, 1.27822395e-05, 3.24791e-05, 2.3224242e-05]"
sat_5color_250_1550_97858.cnf,"[1.607621e-05, 2.618648e-05, 4.295343e-05, 5.6601617e-05]"
unsat_dominating_80_1810_56432.cnf,
sat_tiling_5_19_51205.cnf,"[4.8337397e-06, 6.05675e-06, 1.915247e-05, 3.6389e-06]"
sat_php_232_978_45755.cnf,
unsat_dominating_80_1810_67242.cnf,"[1.140288e-05, 2.642587e-05, 3.071547e-05, 7.832246e-05]"
sat_php_234_997_1553.cnf,
sat_subsetcard_64_1792_25143.cnf,"[6.0386323e-05, 5.5095217e-05, 0.0001553033, 4.4576427e-05]"
unsat_subsetcard_53_818_50334.cnf,"[9.848271e-06, 1.754671e-05, 3.282825e-05, 2.1588961e-05]"
unsat_tiling_10_124_9529.cnf,"[5.7793704e-06, 7.28656e-06, 2.291267e-05, 7.2409e-06]"
sat_tseitin_20_118_71779.cnf,"[2.266165e-05, 1.6305119e-05, 6.297305e-05, 1.4013509e-05]"
sat_tiling_10_236_77445.cnf,"[5.7536595e-06, 8.69262e-06, 2.2751332e-05, 8.2264205e-06]"
sat_php_222_895_6.cnf,
unsat_dominating_80_1810_66379.cnf,
unsat_cliquecoloring_50_356.cnf,"[9.022899e-06, 1.1622499e-05, 2.642622e-05, 1.6057562e-05]"
unsat_5clique_50_1130_76720.cnf,
unsat_5clique_65_1695_90705.cnf,
sat_5color_250_1300_97403.cnf,"[9.876941e-06, 2.3048971e-05, 4.0436847e-05, 5.6655186e-05]"
sat_3clique_30_348_89891.cnf,"[7.1720206e-06, 1.049365e-05, 2.43146e-05, 2.057906e-05]"
unsat_dominating_80_1810_70888.cnf,
unsat_5clique_65_1825_42075.cnf,
sat_4clique_40_664_58622.cnf,
sat_php_224_918_91788.cnf,
sat_dominating_70_1295_25518.cnf,"[9.199341e-06, 2.057909e-05, 3.012071e-05, 5.666762e-05]"
sat_php_220_881_91073.cnf,
sat_php_227_942_25083.cnf,
unsat_matching_40_184_2153.cnf,"[7.1781296e-06, 9.0004e-06, 2.663596e-05, 1.354509e-05]"
sat_4clique_40_604_39950.cnf,"[8.0461e-06, 1.329261e-05, 2.6921713e-05, 3.233707e-05]"
unsat_dominating_80_1810_41876.cnf,"[1.11012105e-05, 2.6383088e-05, 3.096332e-05, 7.9529695e-05]"
unsat_dominating_80_1810_65972.cnf,
unsat_3color_90_480_50860.cnf,"[8.6294e-06, 1.2748829e-05, 3.131292e-05, 1.9058969e-05]"
sat_php_224_908_8740.cnf,
sat_tiling_10_244_40767.cnf,"[5.73802e-06, 8.785811e-06, 2.2745251e-05, 8.28166e-06]"
unsat_dominating_80_1810_31472.cnf,
sat_3clique_39_666_65351.cnf,
sat_tiling_10_237_83086.cnf,"[5.7577304e-06, 8.76359e-06, 2.281384e-05, 8.22382e-06]"
unsat_cliquecoloring_48_493.cnf,"[7.976049e-06, 1.2541199e-05, 2.6713882e-05, 2.299487e-05]"
unsat_dominating_80_1810_60782.cnf,
sat_php_227_936_60065.cnf,
sat_5clique_50_930_78130.cnf,
unsat_dominating_80_1810_35210.cnf,"[1.062986e-05, 2.6576517e-05, 3.0845295e-05, 7.807581e-05]"
sat_subsetcard_60_2820_18847.cnf,"[2.852853e-05, 4.865407e-05, 6.600479e-05, 3.7006652e-05]"
sat_cliquecoloring_50_213.cnf,"[1.34406e-05, 1.242645e-05, 5.6443387e-05, 1.699767e-05]"
sat_subsetcard_24_84_25143.cnf,"[7.52443e-06, 9.15286e-06, 4.003167e-05, 8.63757e-06]"
sat_dominating_60_970_56272.cnf,"[8.58484e-06, 1.712795e-05, 2.788493e-05, 4.354574e-05]"
unsat_php_95_878_22166.cnf,"[1.620856e-05, 1.8593779e-05, 3.755386e-05, 4.110935e-05]"
unsat_dominating_80_1810_95248.cnf,
unsat_php_101_509_5311.cnf,"[8.95712e-06, 1.3331921e-05, 3.032412e-05, 3.154888e-05]"
sat_tseitin_20_142_20074.cnf,"[1.965171e-05, 1.407745e-05, 5.7943584e-05, 1.025365e-05]"
sat_3clique_30_378_90705.cnf,"[7.22841e-06, 1.06917305e-05, 2.4335259e-05, 2.2863362e-05]"
unsat_tiling_20_258_54906.cnf,"[6.6230205e-06, 8.937781e-06, 2.363008e-05, 1.4442119e-05]"
sat_php_213_828_16930.cnf,
sat_php_225_926_92838.cnf,
sat_php_233_990_95853.cnf,
unsat_tseitin_40_496_30847.cnf,"[5.663826e-05, 3.615821e-05, 0.000110280045, 3.3574383e-05]"
unsat_cliquecoloring_45_350.cnf,"[9.56719e-06, 1.1884489e-05, 2.8962619e-05, 1.605149e-05]"
unsat_5clique_65_1825_60066.cnf,
sat_op_45_249_69595.cnf,"[8.93373e-06, 1.06260995e-05, 2.9218168e-05, 1.2669159e-05]"
sat_5color_250_1300_69384.cnf,"[9.1908505e-06, 2.299203e-05, 4.1520434e-05, 5.4707394e-05]"
sat_cliquecoloring_55_227.cnf,"[1.956258e-05, 1.2577761e-05, 5.7466397e-05, 1.8288662e-05]"
unsat_php_184_1627_40264.cnf,"[2.365337e-05, 2.7953789e-05, 4.2918673e-05, 8.353543e-05]"
sat_5color_50_260_2076.cnf,"[7.73566e-06, 1.0023899e-05, 2.4764031e-05, 1.36153085e-05]"
unsat_tiling_20_793_2570.cnf,"[7.83327e-06, 1.507071e-05, 2.682191e-05, 2.3227358e-05]"
sat_cliquecoloring_99_561.cnf,"[1.974795e-05, 1.613554e-05, 5.0916984e-05, 2.9450262e-05]"
sat_4clique_40_604_65687.cnf,"[7.820299e-06, 1.342341e-05, 2.6411508e-05, 3.3661847e-05]"
sat_3clique_30_378_78502.cnf,"[7.2391204e-06, 1.088554e-05, 2.420817e-05, 2.1890672e-05]"
unsat_php_186_1660_24423.cnf,"[1.403277e-05, 2.6772681e-05, 3.614992e-05, 9.058065e-05]"
sat_php_229_956_22166.cnf,
unsat_op_20_74_63750.cnf,"[8.16948e-06, 7.90544e-06, 2.720271e-05, 6.42603e-06]"
unsat_dominating_80_1810_66626.cnf,
sat_op_45_249_85625.cnf,"[9.499689e-06, 1.042367e-05, 3.001136e-05, 1.269635e-05]"
sat_cliquecoloring_80_524.cnf,"[1.372336e-05, 1.554887e-05, 3.622933e-05, 2.3119941e-05]"
sat_subsetcard_24_84_64525.cnf,"[6.32934e-06, 8.92746e-06, 4.07306e-05, 8.6416e-06]"
unsat_op_45_248_4041.cnf,"[1.038681e-05, 1.037319e-05, 3.059469e-05, 1.1994299e-05]"
unsat_dominating_80_1809_49226.cnf,"[1.05584095e-05, 2.6701371e-05, 2.9952242e-05, 7.7718156e-05]"
sat_cliquecoloring_45_137.cnf,"[9.4261395e-06, 1.077871e-05, 5.7901012e-05, 1.683343e-05]"
unsat_matching_60_271_39143.cnf,"[6.9472903e-06, 9.812409e-06, 2.7221253e-05, 1.7264549e-05]"
unsat_cliquecoloring_45_248.cnf,"[8.145429e-06, 9.71654e-06, 2.6556689e-05, 1.634464e-05]"
sat_matching_60_251_14901.cnf,"[7.4241398e-06, 9.672351e-06, 2.704651e-05, 1.653525e-05]"
sat_dominating_70_1295_31472.cnf,"[1.000174e-05, 2.092621e-05, 2.9858329e-05, 6.1711515e-05]"
sat_3clique_30_408_50315.cnf,"[7.3693095e-06, 1.094242e-05, 2.440791e-05, 2.386578e-05]"
sat_subsetcard_36_360_58681.cnf,"[2.9753128e-05, 2.112831e-05, 8.092083e-05, 1.907919e-05]"
sat_5color_100_520_97350.cnf,"[8.96979e-06, 1.35174705e-05, 3.0010831e-05, 2.3332123e-05]"
sat_tseitin_20_130_36501.cnf,"[1.28644115e-05, 1.403735e-05, 5.6873414e-05, 1.07242095e-05]"
unsat_tseitin_20_146_24277.cnf,"[2.586986e-05, 1.7748129e-05, 0.00010261442, 1.4923609e-05]"
sat_subsetcard_60_2820_22665.cnf,"[1.3446899e-05, 4.242567e-05, 3.4485936e-05, 4.794341e-05]"
sat_tseitin_30_468_86187.cnf,"[5.370916e-05, 3.5164958e-05, 0.00015207309, 3.332591e-05]"
unsat_cliquecoloring_37_230.cnf,"[8.314139e-06, 9.483951e-06, 2.72354e-05, 1.583761e-05]"
unsat_dominating_80_1810_96282.cnf,"[1.0588601e-05, 2.676564e-05, 3.117937e-05, 7.828089e-05]"
unsat_dominating_80_1810_40273.cnf,
sat_subsetcard_12_72_25143.cnf,"[6.0010298e-06, 7.83014e-06, 2.9132887e-05, 5.6919303e-06]"
sat_op_28_119_74214.cnf,"[8.508469e-06, 8.49987e-06, 3.253236e-05, 7.73625e-06]"
sat_4clique_32_404_34389.cnf,"[7.2632706e-06, 1.105233e-05, 2.5247049e-05, 2.341764e-05]"
unsat_5clique_65_1955_91681.cnf,
unsat_php_96_450_86266.cnf,"[9.9113595e-06, 1.3053701e-05, 2.996994e-05, 3.08378e-05]"
sat_5color_250_1050_96558.cnf,"[8.61295e-06, 2.02876e-05, 3.9414972e-05, 4.9353333e-05]"
unsat_dominating_40_455_87000.cnf,"[7.3701704e-06, 1.16056e-05, 2.505349e-05, 2.5035019e-05]"
unsat_tiling_20_101_58566.cnf,"[6.68883e-06, 7.2689e-06, 2.217996e-05, 7.68173e-06]"
unsat_dominating_50_690_38469.cnf,"[8.307649e-06, 1.412358e-05, 2.6912903e-05, 3.5043842e-05]"
sat_php_220_876_45650.cnf,
unsat_php_97_451_21992.cnf,"[1.217593e-05, 1.4037559e-05, 3.789724e-05, 2.669543e-05]"
unsat_dominating_80_1810_71978.cnf,
unsat_dominating_80_1810_52694.cnf,
sat_php_226_932_62209.cnf,
unsat_dominating_80_1810_77484.cnf,
unsat_4color_40_190_72085.cnf,"[6.8629197e-06, 9.15307e-06, 2.7755174e-05, 1.201232e-05]"
sat_php_234_995_88781.cnf,
unsat_dominating_80_1809_21835.cnf,"[1.034803e-05, 2.7096761e-05, 3.000019e-05, 7.928531e-05]"
sat_php_229_951_42801.cnf,
sat_op_28_119_84304.cnf,"[8.45727e-06, 9.024121e-06, 2.951727e-05, 8.1138105e-06]"
unsat_op_90_775_82061.cnf,"[1.340929e-05, 1.7504219e-05, 3.470461e-05, 3.404579e-05]"
unsat_cliquecoloring_36_176.cnf,"[8.55064e-06, 9.355999e-06, 2.5861189e-05, 1.0056321e-05]"
sat_php_224_911_4195.cnf,
unsat_dominating_80_1810_53707.cnf,"[1.045735e-05, 2.7091819e-05, 3.1154188e-05, 7.6702025e-05]"
sat_subsetcard_12_36_64659.cnf,"[4.39104e-06, 7.2172397e-06, 2.2165183e-05, 5.36623e-06]"
sat_subsetcard_80_2240_22665.cnf,"[6.095942e-05, 5.632634e-05, 9.9959645e-05, 3.8301343e-05]"
unsat_op_90_775_64509.cnf,"[1.593754e-05, 1.8380531e-05, 3.6217378e-05, 3.777436e-05]"
unsat_dominating_80_1810_49226.cnf,
sat_php_223_901_21286.cnf,
unsat_5clique_65_1955_42480.cnf,
unsat_op_45_248_69595.cnf,"[9.93117e-06, 9.95573e-06, 3.01504e-05, 1.30012195e-05]"
unsat_tseitin_30_568_54824.cnf,"[2.702105e-05, 2.5303501e-05, 5.5250326e-05, 1.8548051e-05]"
unsat_tseitin_40_292_99809.cnf,"[6.135265e-05, 3.66715e-05, 0.00018482862, 3.770514e-05]"
unsat_cliquecoloring_54_673.cnf,"[6.3280995e-06, 1.7012699e-05, 3.5392593e-05, 2.824853e-05]"
unsat_dominating_50_689_11317.cnf,"[8.061509e-06, 1.397035e-05, 2.630048e-05, 3.517675e-05]"
unsat_matching_80_365_47440.cnf,"[6.94889e-06, 1.139765e-05, 2.8189892e-05, 2.3445391e-05]"
sat_tiling_5_17_36057.cnf,"[4.90815e-06, 6.3162397e-06, 1.9503239e-05, 3.7009995e-06]"
unsat_matching_80_363_61838.cnf,"[7.324031e-06, 1.146143e-05, 2.7571892e-05, 2.3147531e-05]"
unsat_tseitin_30_452_52851.cnf,"[5.259948e-05, 5.041903e-05, 0.00014461634, 4.907563e-05]"
sat_3clique_24_255_7737.cnf,"[7.59983e-06, 9.357139e-06, 2.3411221e-05, 1.54905e-05]"
sat_subsetcard_60_2820_25143.cnf,"[1.4783071e-05, 4.394082e-05, 3.5679488e-05, 5.28862e-05]"
unsat_dominating_40_455_28307.cnf,"[8.0725e-06, 1.166958e-05, 2.582427e-05, 2.320893e-05]"
unsat_dominating_80_1809_635.cnf,"[1.1134989e-05, 2.7085218e-05, 3.070452e-05, 7.548334e-05]"
unsat_dominating_40_455_87187.cnf,"[7.728248e-06, 1.167797e-05, 2.563839e-05, 2.4684248e-05]"
sat_op_45_249_90577.cnf,"[9.07272e-06, 1.043182e-05, 3.0467461e-05, 1.370043e-05]"
sat_tseitin_30_424_85097.cnf,"[7.741377e-05, 3.6964768e-05, 0.00019208161, 2.8425478e-05]"
sat_php_188_804_77056.cnf,"[2.4117322e-05, 2.012268e-05, 4.06395e-05, 5.0134975e-05]"
sat_5color_250_1300_43143.cnf,"[9.3074505e-06, 2.3343691e-05, 4.321213e-05, 5.4490636e-05]"
unsat_dominating_80_1810_64806.cnf,"[1.0417031e-05, 2.6811671e-05, 3.007944e-05, 7.755705e-05]"
unsat_dominating_80_1809_18472.cnf,"[1.09769e-05, 2.7033393e-05, 3.0477511e-05, 7.343361e-05]"
unsat_subsetcard_31_129_84276.cnf,"[1.13059705e-05, 1.054441e-05, 3.844528e-05, 9.67143e-06]"
sat_dominating_60_970_53707.cnf,"[8.66829e-06, 1.735e-05, 2.8736069e-05, 3.343109e-05]"
sat_4clique_32_356_68014.cnf,"[7.3236806e-06, 1.059839e-05, 2.5586609e-05, 2.0687441e-05]"
sat_php_227_937_64655.cnf,
unsat_dominating_80_1810_71068.cnf,"[1.070655e-05, 2.6683341e-05, 3.1242576e-05, 8.005164e-05]"
sat_cliquecoloring_69_305.cnf,"[2.274719e-05, 1.750963e-05, 7.100634e-05, 3.020612e-05]"
unsat_tseitin_40_296_55226.cnf,"[3.7352027e-05, 3.0126863e-05, 0.00012902022, 2.718035e-05]"
unsat_dominating_80_1810_63476.cnf,
unsat_dominating_40_455_67184.cnf,"[7.906239e-06, 1.146273e-05, 2.5553058e-05, 2.393452e-05]"
unsat_dominating_80_1810_67184.cnf,
