,Original,MAE_9,MAE_99,MSE_9,MSE_99
unsat_matching_60_247_80381.cnf,"(120, 436)","(312.3, 0.0)","(306.7, 0.0)","(313.0, 0.0)","(310.1, 0.0)"
unsat_3color_150_800_51520.cnf,"(150, 1500)","(969.6, 0.0)","(981.8, 0.0)","(967.1, 0.0)","(960.9, 0.0)"
sat_dominating_80_1665_27876.cnf,"(190, 3230)","(2622.2, 33.9)","(2634.9, 33.7)","(2629.7, 30.8)","(2626.4, 36.5)"
sat_op_45_249_99728.cnf,"(384, 390)","(415.0, 0.0)","(416.1, 0.0)","(405.4, 0.0)","(406.2, 0.0)"
sat_5color_150_630_30044.cnf,"(150, 1200)","(756.6, 0.0)","(753.4, 0.0)","(744.5, 0.0)","(743.3, 0.0)"
unsat_op_90_775_7648.cnf,"(760, 1530)","(1518.2, 0.4)","(1523.5, 0.4)","(1518.6, 0.5)","(1525.9, 0.2)"
sat_op_10_24_82916.cnf,"(34, 35)","(60.0, 0.0)","(61.1, 0.0)","(61.3, 0.0)","(62.4, 0.0)"
sat_tseitin_20_155_22809.cnf,"(446, 447)","(486.2, 0.0)","(477.7, 0.0)","(481.3, 0.0)","(471.6, 0.0)"
sat_dominating_60_970_47815.cnf,"(150, 1860)","(1271.4, 0.1)","(1274.2, 0.0)","(1246.7, 0.0)","(1263.8, 0.1)"
unsat_op_45_248_57351.cnf,"(368, 370)","(393.9, 0.0)","(397.8, 0.0)","(397.2, 0.0)","(393.6, 0.0)"
sat_op_28_119_92842.cnf,"(179, 184)","(222.6, 0.0)","(228.9, 0.0)","(221.2, 0.0)","(221.8, 0.0)"
sat_4color_200_950_73213.cnf,"(200, 1800)","(1257.9, 0.0)","(1261.9, 0.0)","(1259.8, 0.0)","(1259.3, 0.0)"
sat_dominating_80_1665_28307.cnf,"(190, 3230)","(2622.6, 33.0)","(2632.7, 30.5)","(2608.5, 34.9)","(2620.6, 38.6)"
sat_op_45_249_76351.cnf,"(376, 380)","(400.0, 0.0)","(405.2, 0.0)","(397.3, 0.0)","(399.4, 0.0)"
sat_php_221_890_78228.cnf,"(221, 1760)","(1251.3, 0.0)","(1245.3, 0.0)","(1251.4, 0.0)","(1255.9, 0.2)"
sat_subsetcard_16_120_64659.cnf,"(16, 560)","(318.7, 0.0)","(318.8, 0.0)","(319.4, 0.0)","(322.0, 0.0)"
sat_tseitin_20_98_3748.cnf,"(222, 222)","(258.1, 0.0)","(257.0, 0.0)","(259.5, 0.0)","(255.1, 0.0)"
unsat_subsetcard_47_623_34049.cnf,"(2890, 270)","(2353.6, 19.6)","(2359.6, 18.1)","(2362.0, 18.4)","(2361.2, 18.0)"
sat_subsetcard_16_32_64659.cnf,"(48, 48)","(82.1, 0.0)","(82.0, 0.0)","(79.0, 0.0)","(81.4, 0.0)"
sat_cliquecoloring_75_438.cnf,"(125, 960)","(587.4, 0.0)","(581.3, 0.0)","(586.6, 0.0)","(587.9, 0.0)"
sat_php_219_872_18822.cnf,"(219, 1724)","(1215.3, 0.1)","(1203.6, 0.0)","(1220.1, 0.0)","(1209.2, 0.0)"
sat_php_188_805_95853.cnf,"(188, 1590)","(1071.5, 0.0)","(1073.6, 0.0)","(1076.5, 0.0)","(1078.8, 0.0)"
sat_op_28_119_93390.cnf,"(181, 184)","(225.7, 0.0)","(226.1, 0.0)","(229.7, 0.0)","(224.5, 0.0)"
sat_4clique_40_604_65687.cnf,"(40, 1200)","(677.7, 0.0)","(682.6, 0.0)","(684.8, 0.0)","(684.8, 0.0)"
sat_dominating_60_970_71978.cnf,"(150, 1860)","(1264.9, 0.0)","(1270.6, 0.0)","(1259.6, 0.0)","(1271.5, 0.0)"
unsat_tiling_10_118_87321.cnf,"(50, 216)","(178.6, 0.0)","(178.5, 0.0)","(178.3, 0.0)","(181.8, 0.0)"
sat_3clique_39_666_750.cnf,"(39, 1326)","(766.3, 0.0)","(762.8, 0.0)","(760.6, 0.0)","(761.0, 0.0)"
unsat_dominating_80_1810_66379.cnf,"(220, 3500)","(2918.4, 62.0)","(2917.3, 60.9)","(2909.7, 65.8)","(2927.7, 59.6)"
sat_dominating_40_455_41429.cnf,"(110, 850)","(510.5, 0.0)","(511.0, 0.0)","(502.0, 0.0)","(516.1, 0.0)"
unsat_php_104_538_92838.cnf,"(104, 1036)","(617.1, 0.0)","(620.5, 0.0)","(627.6, 0.0)","(621.0, 0.0)"
sat_cliquecoloring_75_469.cnf,"(185, 1010)","(656.6, 0.0)","(642.4, 0.0)","(646.1, 0.0)","(654.6, 0.0)"
sat_tiling_10_48_98392.cnf,"(30, 76)","(88.4, 0.0)","(86.4, 0.0)","(89.2, 0.0)","(88.1, 0.0)"
unsat_op_20_75_50865.cnf,"(70, 140)","(152.8, 0.0)","(151.1, 0.0)","(149.5, 0.0)","(153.3, 0.0)"
unsat_op_45_248_4041.cnf,"(368, 370)","(392.3, 0.0)","(393.3, 0.0)","(399.2, 0.0)","(397.2, 0.0)"
sat_matching_80_635_2351.cnf,"(160, 1230)","(774.5, 0.0)","(781.2, 0.0)","(779.6, 0.0)","(784.1, 0.0)"
unsat_tseitin_20_185_35820.cnf,"(570, 571)","(618.2, 0.0)","(616.9, 0.0)","(608.8, 0.0)","(617.6, 0.0)"
unsat_op_90_775_46417.cnf,"(760, 1530)","(1511.7, 0.4)","(1519.0, 0.2)","(1507.3, 0.2)","(1519.3, 0.0)"
sat_dominating_70_1295_37604.cnf,"(170, 2500)","(1876.8, 2.7)","(1870.3, 3.0)","(1870.2, 2.9)","(1884.2, 3.2)"
unsat_5clique_40_625_750.cnf,"(40, 1240)","(702.5, 0.0)","(710.4, 0.0)","(702.2, 0.0)","(717.4, 0.0)"
sat_php_228_945_71370.cnf,"(228, 1870)","(1355.2, 0.1)","(1337.1, 0.0)","(1345.1, 0.1)","(1350.7, 0.2)"
unsat_5clique_40_705_38865.cnf,"(40, 1400)","(817.3, 0.0)","(818.2, 0.0)","(825.4, 0.0)","(816.0, 0.0)"
sat_tiling_10_117_41490.cnf,"(50, 214)","(178.0, 0.0)","(178.1, 0.0)","(180.4, 0.0)","(178.7, 0.0)"
unsat_subsetcard_31_143_65523.cnf,"(418, 128)","(294.9, 0.0)","(310.9, 0.0)","(302.6, 0.0)","(298.7, 0.0)"
sat_cliquecoloring_36_155.cnf,"(39, 327)","(222.0, 0.0)","(222.9, 0.0)","(223.6, 0.0)","(223.2, 0.0)"
sat_op_45_249_19680.cnf,"(384, 390)","(414.8, 0.0)","(413.6, 0.0)","(413.4, 0.0)","(414.7, 0.0)"
sat_dominating_40_455_67764.cnf,"(110, 850)","(506.9, 0.0)","(515.4, 0.0)","(507.3, 0.0)","(510.2, 0.0)"
sat_tseitin_30_464_89685.cnf,"(1616, 1616)","(2442.7, 22.2)","(2424.4, 22.6)","(2425.5, 23.9)","(2427.7, 20.8)"
sat_3clique_24_207_36782.cnf,"(24, 408)","(254.6, 0.0)","(256.1, 0.0)","(253.9, 0.0)","(254.7, 0.0)"
unsat_tiling_10_113_22468.cnf,"(45, 208)","(174.1, 0.0)","(172.6, 0.0)","(171.8, 0.0)","(174.5, 0.0)"
unsat_subsetcard_42_299_37751.cnf,"(960, 336)","(713.9, 0.0)","(732.3, 0.0)","(716.0, 0.0)","(716.1, 0.0)"
unsat_3color_90_480_45774.cnf,"(90, 900)","(512.1, 0.0)","(526.7, 0.0)","(530.3, 0.0)","(519.1, 0.0)"
sat_tiling_10_44_54677.cnf,"(30, 68)","(80.3, 0.0)","(81.2, 0.0)","(80.9, 0.0)","(83.7, 0.0)"
sat_subsetcard_32_512_18847.cnf,"(1216, 1216)","(1655.7, 1.3)","(1646.7, 0.9)","(1646.4, 1.2)","(1643.2, 0.9)"
unsat_php_93_842_68088.cnf,"(93, 1644)","(1035.2, 0.0)","(1037.6, 0.0)","(1042.7, 0.0)","(1052.7, 0.0)"
unsat_cliquecoloring_51_355.cnf,"(174, 717)","(480.6, 0.0)","(477.5, 0.0)","(472.4, 0.0)","(474.2, 0.0)"
unsat_php_99_475_73543.cnf,"(99, 910)","(542.2, 0.0)","(541.4, 0.0)","(533.7, 0.0)","(542.8, 0.0)"
unsat_php_93_839_10027.cnf,"(93, 1638)","(1046.9, 0.0)","(1030.3, 0.0)","(1040.2, 0.0)","(1023.5, 0.0)"
sat_op_10_24_32675.cnf,"(34, 35)","(60.4, 0.0)","(61.6, 0.0)","(60.4, 0.0)","(61.6, 0.0)"
sat_5color_250_1050_96558.cnf,"(250, 2000)","(1476.4, 0.5)","(1485.3, 0.4)","(1476.3, 0.4)","(1475.1, 0.5)"
unsat_tiling_20_794_69542.cnf,"(180, 1548)","(1031.5, 0.0)","(1039.4, 0.0)","(1042.8, 0.0)","(1038.1, 0.0)"
sat_dominating_60_970_68998.cnf,"(150, 1860)","(1271.9, 0.0)","(1285.3, 0.0)","(1264.0, 0.0)","(1271.9, 0.0)"
unsat_5clique_65_1825_31660.cnf,"(65, 3640)","(2892.4, 60.1)","(2913.0, 57.4)","(2908.8, 61.1)","(2895.1, 68.7)"
sat_matching_120_964_29284.cnf,"(240, 1868)","(1347.3, 0.1)","(1360.2, 0.1)","(1367.8, 0.2)","(1350.1, 0.0)"
unsat_tiling_20_778_11540.cnf,"(180, 1516)","(1002.1, 0.0)","(1007.8, 0.0)","(1017.5, 0.0)","(1008.5, 0.0)"
sat_3clique_39_705_90736.cnf,"(39, 1404)","(830.6, 0.0)","(823.6, 0.0)","(828.0, 0.0)","(810.0, 0.0)"
sat_dominating_60_970_67184.cnf,"(150, 1860)","(1268.5, 0.1)","(1273.2, 0.0)","(1264.6, 0.1)","(1276.5, 0.0)"
unsat_3color_90_390_51660.cnf,"(90, 720)","(427.8, 0.0)","(435.9, 0.0)","(434.2, 0.0)","(434.2, 0.0)"
unsat_subsetcard_43_328_30662.cnf,"(1100, 330)","(801.2, 0.0)","(799.8, 0.0)","(806.4, 0.0)","(813.2, 0.0)"
sat_4color_200_750_19069.cnf,"(200, 1400)","(913.7, 0.0)","(936.1, 0.0)","(927.7, 0.0)","(928.3, 0.0)"
unsat_op_20_75_57911.cnf,"(70, 140)","(152.9, 0.0)","(153.4, 0.0)","(152.2, 0.0)","(149.9, 0.0)"
unsat_4color_120_690_87398.cnf,"(120, 1320)","(818.3, 0.0)","(809.7, 0.0)","(815.1, 0.0)","(807.4, 0.0)"
sat_cliquecoloring_69_342.cnf,"(144, 756)","(479.3, 0.0)","(475.1, 0.0)","(481.6, 0.0)","(474.0, 0.0)"
sat_3clique_30_408_42480.cnf,"(30, 810)","(442.0, 0.0)","(452.4, 0.0)","(448.6, 0.0)","(447.2, 0.0)"
unsat_dominating_40_455_58783.cnf,"(90, 850)","(494.9, 0.0)","(498.3, 0.0)","(496.5, 0.0)","(496.8, 0.0)"
sat_4color_40_150_51660.cnf,"(40, 280)","(205.5, 0.0)","(202.3, 0.0)","(202.1, 0.0)","(207.3, 0.0)"
sat_5color_150_930_71539.cnf,"(150, 1800)","(1217.1, 0.0)","(1198.7, 0.0)","(1222.8, 0.0)","(1221.9, 0.0)"
sat_cliquecoloring_98_541.cnf,"(119, 1253)","(768.8, 0.0)","(764.6, 0.0)","(762.2, 0.0)","(768.8, 0.0)"
unsat_php_102_518_34900.cnf,"(102, 996)","(588.8, 0.0)","(589.8, 0.0)","(599.0, 0.0)","(593.1, 0.0)"
unsat_tseitin_40_366_2210.cnf,"(1156, 1158)","(1557.6, 0.7)","(1551.4, 0.2)","(1544.1, 0.6)","(1543.4, 0.6)"
sat_3color_90_300_96587.cnf,"(90, 540)","(340.4, 0.0)","(341.2, 0.0)","(347.9, 0.0)","(341.7, 0.0)"
unsat_op_90_772_52302.cnf,"(740, 1530)","(1493.3, 0.3)","(1500.3, 0.0)","(1500.6, 0.4)","(1509.9, 0.5)"
unsat_5clique_65_1825_62521.cnf,"(65, 3640)","(2909.4, 58.9)","(2899.9, 57.9)","(2907.3, 61.6)","(2909.5, 64.3)"
unsat_matching_40_113_92754.cnf,"(80, 158)","(165.6, 0.0)","(165.4, 0.0)","(163.7, 0.0)","(165.8, 0.0)"
sat_op_28_119_91897.cnf,"(187, 192)","(232.5, 0.0)","(227.5, 0.0)","(229.1, 0.0)","(230.7, 0.0)"
sat_tseitin_20_98_73310.cnf,"(222, 222)","(263.8, 0.0)","(254.7, 0.0)","(255.0, 0.0)","(258.1, 0.0)"
unsat_php_105_540_1462.cnf,"(105, 1040)","(620.2, 0.0)","(626.7, 0.0)","(622.7, 0.0)","(613.1, 0.0)"
sat_cliquecoloring_93_637.cnf,"(258, 1389)","(955.9, 0.0)","(986.3, 0.0)","(960.3, 0.0)","(980.5, 0.0)"
unsat_op_90_775_20696.cnf,"(780, 1530)","(1543.9, 0.1)","(1531.0, 0.2)","(1537.0, 0.4)","(1532.1, 0.1)"
sat_dominating_70_1295_38583.cnf,"(170, 2500)","(1873.8, 4.5)","(1871.1, 4.4)","(1870.4, 3.5)","(1883.9, 3.9)"
sat_php_222_892_20705.cnf,"(222, 1764)","(1254.8, 0.0)","(1235.9, 0.0)","(1257.5, 0.0)","(1250.0, 0.1)"
sat_3clique_30_348_3835.cnf,"(30, 690)","(390.1, 0.0)","(381.0, 0.0)","(392.9, 0.0)","(383.8, 0.0)"
unsat_dominating_80_1810_93932.cnf,"(220, 3500)","(2932.6, 63.7)","(2921.3, 59.5)","(2924.2, 60.6)","(2924.5, 67.5)"
unsat_php_101_489_89099.cnf,"(101, 938)","(548.7, 0.0)","(554.2, 0.0)","(559.4, 0.0)","(555.1, 0.0)"
sat_tseitin_20_125_40151.cnf,"(322, 323)","(350.0, 0.0)","(344.9, 0.0)","(354.3, 0.0)","(348.8, 0.0)"
unsat_4color_80_380_64167.cnf,"(80, 720)","(424.0, 0.0)","(426.9, 0.0)","(428.6, 0.0)","(417.1, 0.0)"
unsat_php_93_843_78057.cnf,"(93, 1646)","(1051.5, 0.0)","(1030.0, 0.0)","(1044.5, 0.0)","(1041.7, 0.0)"
unsat_tseitin_20_120_91167.cnf,"(306, 306)","(336.4, 0.0)","(331.8, 0.0)","(327.7, 0.0)","(338.4, 0.0)"
unsat_subsetcard_35_170_37751.cnf,"(540, 104)","(353.4, 0.0)","(353.7, 0.0)","(347.0, 0.0)","(348.0, 0.0)"
sat_subsetcard_64_896_25143.cnf,"(2240, 2240)","(3654.6, 186.3)","(3666.9, 178.4)","(3671.5, 171.2)","(3671.1, 183.0)"
sat_tseitin_40_332_89685.cnf,"(1014, 1016)","(1289.2, 0.1)","(1283.8, 0.0)","(1282.4, 0.0)","(1290.4, 0.1)"
unsat_matching_40_113_42976.cnf,"(80, 156)","(163.5, 0.0)","(166.7, 0.0)","(164.3, 0.0)","(163.2, 0.0)"
sat_cliquecoloring_93_734.cnf,"(378, 1566)","(1212.6, 0.0)","(1218.6, 0.0)","(1211.5, 0.0)","(1208.6, 0.0)"
sat_php_217_851_58826.cnf,"(217, 1682)","(1181.2, 0.0)","(1172.8, 0.0)","(1174.7, 0.0)","(1176.8, 0.1)"
sat_tiling_10_252_60416.cnf,"(62, 490)","(302.8, 0.0)","(307.9, 0.0)","(308.0, 0.0)","(310.4, 0.0)"
unsat_php_182_1596_37190.cnf,"(182, 3152)","(2519.0, 26.5)","(2525.6, 28.1)","(2540.5, 29.6)","(2529.3, 31.2)"
unsat_matching_60_266_95132.cnf,"(120, 474)","(321.9, 0.0)","(319.4, 0.0)","(322.7, 0.0)","(325.6, 0.0)"
unsat_subsetcard_41_493_34049.cnf,"(2328, 188)","(1737.5, 2.0)","(1724.0, 1.9)","(1724.7, 1.7)","(1743.2, 2.3)"
unsat_3color_150_650_13822.cnf,"(150, 1200)","(762.4, 0.0)","(754.2, 0.0)","(756.3, 0.0)","(761.2, 0.0)"
unsat_5clique_65_1955_42480.cnf,"(65, 3900)","(3167.7, 94.5)","(3176.7, 89.4)","(3165.4, 93.5)","(3161.2, 97.8)"
sat_5color_250_1050_17770.cnf,"(250, 2000)","(1483.8, 0.3)","(1475.2, 0.3)","(1479.0, 0.3)","(1465.5, 0.3)"
sat_tseitin_40_277_16787.cnf,"(760, 761)","(874.1, 0.0)","(869.6, 0.0)","(877.0, 0.0)","(882.8, 0.0)"
unsat_dominating_80_1809_17476.cnf,"(178, 3500)","(2889.2, 52.7)","(2886.2, 55.9)","(2893.0, 61.0)","(2882.4, 59.8)"
sat_php_222_900_68088.cnf,"(222, 1780)","(1254.9, 0.0)","(1261.0, 0.0)","(1264.4, 0.0)","(1262.1, 0.0)"
sat_dominating_60_970_59957.cnf,"(150, 1860)","(1262.9, 0.0)","(1267.1, 0.0)","(1272.1, 0.1)","(1273.4, 0.0)"
unsat_php_99_486_78552.cnf,"(99, 932)","(555.4, 0.0)","(550.5, 0.0)","(554.4, 0.0)","(549.6, 0.0)"
sat_tiling_10_237_95475.cnf,"(60, 460)","(289.5, 0.0)","(292.8, 0.0)","(297.6, 0.0)","(292.2, 0.0)"
unsat_tseitin_20_109_58146.cnf,"(262, 263)","(294.8, 0.0)","(294.7, 0.0)","(296.1, 0.0)","(293.2, 0.0)"
unsat_matching_60_270_86965.cnf,"(120, 482)","(332.4, 0.0)","(329.0, 0.0)","(336.2, 0.0)","(328.3, 0.0)"
sat_5color_100_620_85600.cnf,"(100, 1200)","(719.9, 0.0)","(734.1, 0.0)","(712.0, 0.0)","(723.9, 0.0)"
sat_op_10_24_92599.cnf,"(33, 35)","(61.9, 0.0)","(58.6, 0.0)","(60.5, 0.0)","(59.1, 0.0)"
unsat_dominating_80_1809_28307.cnf,"(178, 3500)","(2892.3, 57.1)","(2890.5, 56.2)","(2874.0, 60.6)","(2881.0, 58.6)"
sat_tiling_10_245_50328.cnf,"(61, 476)","(300.8, 0.0)","(301.7, 0.0)","(301.5, 0.0)","(294.9, 0.0)"
sat_tiling_10_44_74736.cnf,"(30, 68)","(82.1, 0.0)","(81.3, 0.0)","(82.8, 0.0)","(81.3, 0.0)"
unsat_tiling_10_49_20118.cnf,"(30, 78)","(87.6, 0.0)","(89.4, 0.0)","(89.4, 0.0)","(87.8, 0.0)"
sat_dominating_50_689_41876.cnf,"(125, 1310)","(823.5, 0.0)","(809.4, 0.0)","(824.2, 0.0)","(814.4, 0.0)"
unsat_tiling_10_116_4437.cnf,"(50, 212)","(173.6, 0.0)","(173.0, 0.0)","(180.3, 0.0)","(178.8, 0.0)"
sat_tseitin_40_329_58146.cnf,"(962, 963)","(1192.9, 0.0)","(1198.0, 0.0)","(1197.4, 0.0)","(1190.7, 0.0)"
sat_tiling_10_43_50906.cnf,"(27, 68)","(81.5, 0.0)","(79.7, 0.0)","(79.9, 0.0)","(79.2, 0.0)"
sat_matching_160_1288_36097.cnf,"(320, 2496)","(2010.4, 6.4)","(2017.9, 6.0)","(2020.6, 4.0)","(2012.5, 7.3)"
unsat_dominating_40_455_58597.cnf,"(90, 850)","(492.4, 0.0)","(493.2, 0.0)","(487.9, 0.0)","(489.4, 0.0)"
unsat_php_182_1590_60843.cnf,"(182, 3140)","(2523.4, 28.1)","(2518.0, 30.1)","(2532.8, 27.6)","(2528.4, 30.8)"
unsat_tiling_20_249_75462.cnf,"(100, 458)","(301.4, 0.0)","(312.0, 0.0)","(304.5, 0.0)","(307.9, 0.0)"
sat_matching_160_1294_41530.cnf,"(320, 2508)","(2035.6, 6.5)","(2040.6, 5.2)","(2036.5, 6.2)","(2027.9, 6.8)"
unsat_tiling_20_94_74005.cnf,"(60, 148)","(147.3, 0.0)","(145.6, 0.0)","(148.9, 0.0)","(152.9, 0.0)"
unsat_matching_40_116_93884.cnf,"(80, 168)","(167.4, 0.0)","(170.3, 0.0)","(169.6, 0.0)","(169.6, 0.0)"
sat_subsetcard_40_1760_58681.cnf,"(5160, 5160)","(7793.7, 2458.7)","(7775.2, 2475.9)","(7810.9, 2439.3)","(7780.2, 2466.7)"
sat_subsetcard_36_360_64525.cnf,"(720, 720)","(809.8, 0.0)","(809.7, 0.0)","(799.2, 0.0)","(821.4, 0.0)"
sat_dominating_40_455_56272.cnf,"(110, 850)","(503.4, 0.0)","(509.4, 0.0)","(508.3, 0.0)","(509.1, 0.0)"
sat_cliquecoloring_92_507.cnf,"(232, 1132)","(760.0, 0.0)","(756.6, 0.0)","(765.6, 0.0)","(764.1, 0.0)"
unsat_tseitin_30_400_55123.cnf,"(1336, 1336)","(1859.3, 5.0)","(1888.9, 4.0)","(1871.8, 4.8)","(1880.4, 4.4)"
sat_php_231_970_21992.cnf,"(231, 1920)","(1383.4, 0.1)","(1399.2, 0.0)","(1397.5, 0.1)","(1395.6, 0.3)"
sat_tseitin_40_264_80408.cnf,"(712, 712)","(812.5, 0.0)","(802.9, 0.0)","(793.9, 0.0)","(815.2, 0.0)"
sat_dominating_80_1665_31472.cnf,"(190, 3230)","(2611.9, 34.4)","(2627.9, 34.2)","(2627.5, 34.4)","(2634.3, 29.8)"
unsat_dominating_80_1810_60782.cnf,"(220, 3500)","(2918.4, 65.2)","(2926.7, 65.3)","(2934.1, 59.8)","(2920.3, 58.3)"
unsat_dominating_40_455_38469.cnf,"(90, 850)","(502.2, 0.0)","(490.4, 0.0)","(496.0, 0.0)","(491.9, 0.0)"
sat_php_187_794_67809.cnf,"(187, 1568)","(1067.1, 0.0)","(1051.4, 0.0)","(1064.8, 0.0)","(1057.6, 0.0)"
sat_matching_80_626_93944.cnf,"(160, 1212)","(761.6, 0.0)","(757.0, 0.0)","(755.0, 0.0)","(768.0, 0.0)"
